1535275788
xxxxxxxxxx	1531750717	1531923911	1532099624	1532272812	1532445771	1532619981	1532794902	1532974310	1533218319	1533392491	1533568811	1533742522	1534000888	1534180280	1534356773	1534602626	1534781300	1534956407	1535131318
8922R8Q2	1<>1<>1680	1<>0<>1120	1<>1<>1400	1<>1<>1400	1<>1<>1487	1<>1<>1487	1<>1<>1400	1<>1<>1785	1<>1<>1785	1<>1<>1487	XXXXXXXX	XXXXXXXX	XXXXXXXX	1<>1<>1400	1<>1<>1680	1<>1<>1400	2<>1<>1680	1<>1<>1120	1<>1<>1120
20VUQ8UL9	1<>1<>1400	1<>1<>1120	1<>1<>1680	1<>1<>840	1<>1<>1400	1<>1<>1400	1<>1<>1400	1<>1<>1680	1<>1<>1400	1<>1<>1120	1<>0<>1400	1<>0<>840	1<>0<>1400	1<>1<>1680	2<>0<>1400	1<>0<>1400	1<>1<>1120	1<>1<>1400	1<>1<>1120
2C2YUQ2R9	1<>1<>1400	1<>1<>1120	1<>1<>840	1<>0<>1400	1<>1<>1120	1<>1<>1400	1<>0<>1120	1<>1<>1400	1<>1<>1120	1<>1<>1400	1<>1<>1400	1<>0<>1400	1<>0<>1120	1<>1<>1120	1<>0<>560	1<>1<>525	XXXXXXXX	1<>1<>840	1<>0<>909
QR0U8U2P	1<>1<>1400	XXXXXXXX	1<>1<>1400	1<>0<>1680	1<>1<>1680	1<>0<>1400	XXXXXXXX	1<>1<>840	1<>1<>1400	1<>1<>1120	1<>1<>1120	1<>0<>840	1<>1<>840	1<>0<>1120	1<>0<>1680	1<>0<>1120	1<>0<>1400	1<>0<>1120	1<>1<>1400
820PVJR9	1<>1<>1400	1<>0<>1120	1<>1<>1120	1<>0<>1400	1<>1<>1120	1<>1<>1400	1<>0<>1120	XXXXXXXX	1<>1<>1400	XXXXXXXX	1<>0<>1400	XXXXXXXX	1<>0<>1120	1<>0<>1120	1<>0<>1120	XXXXXXXX	1<>0<>840	1<>0<>1680	1<>1<>1400
2PU22P2GJ	1<>1<>1400	1<>0<>1120	1<>0<>1400	1<>1<>1120	1<>1<>1400	1<>1<>1120	1<>1<>1400	1<>0<>1400	1<>1<>1120	1<>0<>1120	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	1<>1<>1400	1<>1<>1120	1<>1<>1120
99PPJLY8	1<>1<>1400	1<>0<>1120	1<>1<>1120	1<>0<>1400	1<>0<>1400	1<>1<>840	1<>1<>1120	1<>0<>1400	1<>0<>1120	1<>1<>1680	1<>1<>1120	1<>1<>1680	1<>1<>1120	1<>1<>1400	1<>0<>1120	1<>1<>1120	1<>1<>1400	1<>1<>1400	1<>1<>840
9200UJL2L	1<>1<>1120	2<>2<>1400	1<>1<>1400	1<>1<>1680	1<>1<>1400	1<>1<>1680	1<>0<>1400	1<>1<>1120	XXXXXXXX	1<>0<>1120	1<>0<>1400	1<>0<>1400	1<>1<>1120	1<>1<>840	1<>1<>1400	1<>0<>1680	1<>1<>1680	1<>1<>1120	1<>0<>1400
QUG02C8	1<>1<>1120	1<>1<>840	1<>0<>1120	1<>1<>1120	1<>1<>1400	1<>1<>1400	1<>0<>1400	1<>1<>1400	1<>0<>1400	1<>1<>1120	1<>1<>1400	1<>1<>1120	1<>1<>1120	1<>1<>840	XXXXXXXX	1<>1<>1120	1<>1<>1680	2<>2<>1680	1<>1<>1680
LQL99J2U	1<>1<>1120	1<>1<>280	1<>1<>1680	XXXXXXXX	1<>1<>1120	XXXXXXXX	1<>1<>1400	1<>0<>1400	1<>0<>1400	XXXXXXXX	1<>1<>840	1<>0<>1120	1<>1<>1400	1<>1<>280	XXXXXXXX	1<>1<>1680	1<>0<>1400	1<>0<>280	XXXXXXXX
28R82C022	1<>1<>1120	1<>1<>1680	XXXXXXXX	XXXXXXXX	1<>1<>1400	1<>1<>1400	1<>1<>1120	1<>1<>1680	1<>1<>840	1<>1<>1400	1<>1<>1120	2<>2<>1120	1<>1<>1400	1<>1<>840	2<>2<>1120	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX
2CLVUC9UV	1<>1<>1120	2<>0<>1120	1<>0<>1120	1<>0<>1400	1<>1<>840	1<>1<>1120	1<>1<>1120	1<>0<>1400	1<>0<>840	1<>1<>1120	1<>1<>1120	1<>0<>1120	1<>1<>840	1<>0<>1400	1<>1<>1120	2<>1<>1120	1<>1<>1400	1<>1<>1120	1<>1<>1120
8V8009VJ	1<>1<>1120	1<>1<>1400	1<>1<>1400	1<>1<>1400	1<>1<>1400	1<>1<>1400	1<>0<>1400	2<>2<>1120	1<>1<>1400	1<>0<>840	1<>0<>1120	2<>2<>1400	1<>1<>1120	1<>0<>1120	1<>1<>1400	1<>1<>1400	2<>1<>560	1<>1<>1400	1<>1<>1400
